antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'GESTACAO_3.0', 'RACACOR_4.0', 'APGAR5_3.0', 'QTDFILMORT_0.0', 'PESO_2.0'})",frozenset({'PARTO_1.0'}),0.6280560761883685,1.0,0.6280560761883685,1.0,1.0,1.0,0.0,inf,0.0,0.6280560761883685,0.0,0.8140280380941842
"frozenset({'GESTACAO_3.0', 'RACACOR_4.0', 'PESO_2.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_1.0'}),0.6368027074443192,1.0,0.6368027074443192,1.0,1.0,1.0,0.0,inf,0.0,0.6368027074443192,0.0,0.8184013537221596
frozenset({'QTDFILMORT_0.0'}),frozenset({'PARTO_1.0'}),0.812445391189279,1.0,0.812445391189279,1.0,1.0,1.0,0.0,inf,0.0,0.812445391189279,0.0,0.9062226955946395
frozenset({'RACACOR_4.0'}),frozenset({'PARTO_1.0'}),0.9701037653855641,1.0,0.9701037653855641,1.0,1.0,1.0,0.0,inf,0.0,0.9701037653855641,0.0,0.9850518826927821
frozenset({'ESTCIVMAE_1.0'}),frozenset({'PARTO_1.0'}),0.7432930582547773,1.0,0.7432930582547773,1.0,1.0,1.0,0.0,inf,0.0,0.7432930582547773,0.0,0.8716465291273887
frozenset({'MESPRENAT_1.0'}),frozenset({'PARTO_1.0'}),0.7838424776435275,1.0,0.7838424776435275,1.0,1.0,1.0,0.0,inf,0.0,0.7838424776435275,0.0,0.8919212388217638
frozenset({'PESO_2.0'}),frozenset({'PARTO_1.0'}),0.8866096314380763,1.0,0.8866096314380763,1.0,1.0,1.0,0.0,inf,0.0,0.8866096314380763,0.0,0.9433048157190381
frozenset({'GESTACAO_3.0'}),frozenset({'PARTO_1.0'}),0.8663683498283641,1.0,0.8663683498283641,1.0,1.0,1.0,0.0,inf,0.0,0.8663683498283641,0.0,0.933184174914182
"frozenset({'GESTACAO_3.0', 'RACACOR_4.0', 'PESO_2.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_1.0'}),0.6197174981038207,1.0,0.6197174981038207,1.0,1.0,1.0,0.0,inf,0.0,0.6197174981038207,0.0,0.8098587490519104
"frozenset({'RACACOR_4.0', 'APGAR5_3.0', 'QTDFILMORT_0.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_1.0'}),0.6051405478056191,1.0,0.6051405478056191,1.0,1.0,1.0,0.0,inf,0.0,0.6051405478056191,0.0,0.8025702739028096
"frozenset({'RACACOR_4.0', 'PESO_2.0', 'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_1.0'}),0.6911683000320449,1.0,0.6911683000320449,1.0,1.0,1.0,0.0,inf,0.0,0.691168300032045,0.0,0.8455841500160224
"frozenset({'RACACOR_4.0', 'PESO_2.0', 'ESTCIVMAE_1.0', 'APGAR5_3.0'})",frozenset({'PARTO_1.0'}),0.6266889827949106,1.0,0.6266889827949106,1.0,1.0,1.0,0.0,inf,0.0,0.6266889827949107,0.0,0.8133444913974552
"frozenset({'RACACOR_4.0', 'PESO_2.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_1.0'}),0.6693132488179138,1.0,0.6693132488179138,1.0,1.0,1.0,0.0,inf,0.0,0.6693132488179139,0.0,0.8346566244089568
"frozenset({'GESTACAO_3.0', 'RACACOR_4.0', 'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_1.0'}),0.67482311932443,1.0,0.67482311932443,1.0,1.0,1.0,0.0,inf,0.0,0.6748231193244301,0.0,0.8374115596622149
"frozenset({'GESTACAO_3.0', 'RACACOR_4.0', 'ESTCIVMAE_1.0', 'APGAR5_3.0'})",frozenset({'PARTO_1.0'}),0.611459608499494,1.0,0.611459608499494,1.0,1.0,1.0,0.0,inf,0.0,0.6114596084994941,0.0,0.8057298042497469
"frozenset({'GESTACAO_3.0', 'RACACOR_4.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_1.0'}),0.6572630006432024,1.0,0.6572630006432024,1.0,1.0,1.0,0.0,inf,0.0,0.6572630006432025,0.0,0.8286315003216012
