antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'APGAR5_3.0'}),frozenset({'PARTO_2.0'}),0.9782380702674358,1.0,0.9782380702674358,1.0,1.0,1.0,0.0,inf,0.0,0.9782380702674358,0.0,0.9891190351337179
frozenset({'CONSULTAS_4.0'}),frozenset({'PARTO_2.0'}),0.7982309465623176,1.0,0.7982309465623176,1.0,1.0,1.0,0.0,inf,0.0,0.7982309465623176,0.0,0.8991154732811588
frozenset({'MESPRENAT_1.0'}),frozenset({'PARTO_2.0'}),0.856605752391883,1.0,0.856605752391883,1.0,1.0,1.0,0.0,inf,0.0,0.856605752391883,0.0,0.9283028761959415
frozenset({'PESO_2.0'}),frozenset({'PARTO_2.0'}),0.84382760633614,1.0,0.84382760633614,1.0,1.0,1.0,0.0,inf,0.0,0.84382760633614,0.0,0.92191380316807
"frozenset({'CONSULTAS_4.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.7844831850877106,1.0,0.7844831850877106,1.0,1.0,1.0,0.0,inf,0.0,0.7844831850877106,0.0,0.8922415925438554
frozenset({'QTDFILMORT_0.0'}),frozenset({'PARTO_2.0'}),0.7875157067803821,1.0,0.7875157067803821,1.0,1.0,1.0,0.0,inf,0.0,0.7875157067803821,0.0,0.8937578533901911
frozenset({'CODOCUPMAE_1.0'}),frozenset({'PARTO_2.0'}),0.7072651898170593,1.0,0.7072651898170593,1.0,1.0,1.0,0.0,inf,0.0,0.7072651898170593,0.0,0.8536325949085297
frozenset({'ESCMAE2010_3.0'}),frozenset({'PARTO_2.0'}),0.6037290617486717,1.0,0.6037290617486717,1.0,1.0,1.0,0.0,inf,0.0,0.6037290617486717,0.0,0.8018645308743358
frozenset({'RACACOR_1.0'}),frozenset({'PARTO_2.0'}),0.8041277913545923,1.0,0.8041277913545923,1.0,1.0,1.0,0.0,inf,0.0,0.8041277913545923,0.0,0.9020638956772962
frozenset({'ESTCIVMAE_1.0'}),frozenset({'PARTO_2.0'}),0.6094032907560032,1.0,0.6094032907560032,1.0,1.0,1.0,0.0,inf,0.0,0.6094032907560032,0.0,0.8047016453780016
frozenset({'GESTACAO_3.0'}),frozenset({'PARTO_2.0'}),0.8572439176420537,1.0,0.8572439176420537,1.0,1.0,1.0,0.0,inf,0.0,0.8572439176420537,0.0,0.9286219588210268
"frozenset({'GESTACAO_3.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.8459201947146066,1.0,0.8459201947146066,1.0,1.0,1.0,0.0,inf,0.0,0.8459201947146066,0.0,0.9229600973573033
"frozenset({'PESO_2.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.8320190756992609,1.0,0.8320190756992609,1.0,1.0,1.0,0.0,inf,0.0,0.8320190756992609,0.0,0.9160095378496305
"frozenset({'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.8385293506544904,1.0,0.8385293506544904,1.0,1.0,1.0,0.0,inf,0.0,0.8385293506544904,0.0,0.9192646753272452
"frozenset({'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.7710520327294674,1.0,0.7710520327294674,1.0,1.0,1.0,0.0,inf,0.0,0.7710520327294674,0.0,0.8855260163647337
"frozenset({'CODOCUPMAE_1.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.6918750185513154,1.0,0.6918750185513154,1.0,1.0,1.0,0.0,inf,0.0,0.6918750185513154,0.0,0.8459375092756577
"frozenset({'RACACOR_1.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.7880203025595868,1.0,0.7880203025595868,1.0,1.0,1.0,0.0,inf,0.0,0.7880203025595869,0.0,0.8940101512797933
"frozenset({'GESTACAO_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.6795223159956862,1.0,0.6795223159956862,1.0,1.0,1.0,0.0,inf,0.0,0.6795223159956862,0.0,0.8397611579978431
