antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'GESTACAO_3.0', 'PESO_2.0', 'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_1.0'}),0.6678795779641714,1.0,0.6678795779641714,1.0,1.0,1.0,0.0,inf,0.0,0.6678795779641715,0.0,0.8339397889820857
"frozenset({'CONSULTAS_4.0', 'APGAR5_3.0'})",frozenset({'PARTO_1.0'}),0.7593099298755811,1.0,0.7593099298755811,1.0,1.0,1.0,0.0,inf,0.0,0.7593099298755812,0.0,0.8796549649377905
frozenset({'QTDFILMORT_0.0'}),frozenset({'PARTO_1.0'}),0.8178412566525081,1.0,0.8178412566525081,1.0,1.0,1.0,0.0,inf,0.0,0.8178412566525081,0.0,0.9089206283262541
frozenset({'RACACOR_1.0'}),frozenset({'PARTO_1.0'}),0.768858024912434,1.0,0.768858024912434,1.0,1.0,1.0,0.0,inf,0.0,0.768858024912434,0.0,0.8844290124562171
frozenset({'PESO_2.0'}),frozenset({'PARTO_1.0'}),0.8902470471101434,1.0,0.8902470471101434,1.0,1.0,1.0,0.0,inf,0.0,0.8902470471101434,0.0,0.9451235235550717
"frozenset({'PESO_2.0', 'APGAR5_3.0'})",frozenset({'PARTO_1.0'}),0.8770494738877866,1.0,0.8770494738877866,1.0,1.0,1.0,0.0,inf,0.0,0.8770494738877866,0.0,0.9385247369438934
"frozenset({'GESTACAO_3.0', 'PESO_2.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_1.0'}),0.6901524973318339,1.0,0.6901524973318339,1.0,1.0,1.0,0.0,inf,0.0,0.690152497331834,0.0,0.8450762486659169
"frozenset({'GESTACAO_3.0', 'RACACOR_1.0', 'APGAR5_3.0', 'PESO_2.0'})",frozenset({'PARTO_1.0'}),0.6255828778946916,1.0,0.6255828778946916,1.0,1.0,1.0,0.0,inf,0.0,0.6255828778946916,0.0,0.8127914389473458
frozenset({'ESTCIVMAE_1.0'}),frozenset({'PARTO_1.0'}),0.6266859586416349,1.0,0.6266859586416349,1.0,1.0,1.0,0.0,inf,0.0,0.6266859586416349,0.0,0.8133429793208174
frozenset({'MESPRENAT_1.0'}),frozenset({'PARTO_1.0'}),0.8443581717511048,1.0,0.8443581717511048,1.0,1.0,1.0,0.0,inf,0.0,0.8443581717511048,0.0,0.9221790858755524
"frozenset({'GESTACAO_3.0', 'CONSULTAS_4.0'})",frozenset({'PARTO_1.0'}),0.7047754800908251,1.0,0.7047754800908251,1.0,1.0,1.0,0.0,inf,0.0,0.7047754800908252,0.0,0.8523877400454125
