antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'GESTACAO_3.0', 'RACACOR_4.0', 'PESO_2.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.606372732238866,1.0,0.606372732238866,1.0,1.0,1.0,0.0,inf,0.0,0.6063727322388661,0.0,0.803186366119433
"frozenset({'RACACOR_4.0', 'PESO_2.0', 'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.6399722549667922,1.0,0.6399722549667922,1.0,1.0,1.0,0.0,inf,0.0,0.6399722549667922,0.0,0.8199861274833962
"frozenset({'CODOCUPMAE_1.0', 'RACACOR_4.0', 'PESO_2.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.6278966964722118,1.0,0.6278966964722118,1.0,1.0,1.0,0.0,inf,0.0,0.6278966964722119,0.0,0.8139483482361058
"frozenset({'RACACOR_4.0', 'PESO_2.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6621682815330209,1.0,0.6621682815330209,1.0,1.0,1.0,0.0,inf,0.0,0.662168281533021,0.0,0.8310841407665104
frozenset({'QTDFILMORT_0.0'}),frozenset({'PARTO_2.0'}),0.7829705873896667,1.0,0.7829705873896667,1.0,1.0,1.0,0.0,inf,0.0,0.7829705873896667,0.0,0.8914852936948334
"frozenset({'CODOCUPMAE_1.0', 'RACACOR_4.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6154258071935828,1.0,0.6154258071935828,1.0,1.0,1.0,0.0,inf,0.0,0.6154258071935828,0.0,0.8077129035967914
frozenset({'CODOCUPMAE_1.0'}),frozenset({'PARTO_2.0'}),0.7741187717431931,1.0,0.7741187717431931,1.0,1.0,1.0,0.0,inf,0.0,0.7741187717431932,0.0,0.8870593858715965
frozenset({'RACACOR_4.0'}),frozenset({'PARTO_2.0'}),0.9830331215318708,1.0,0.9830331215318708,1.0,1.0,1.0,0.0,inf,0.0,0.9830331215318708,0.0,0.9915165607659354
frozenset({'ESTCIVMAE_1.0'}),frozenset({'PARTO_2.0'}),0.700418331847848,1.0,0.700418331847848,1.0,1.0,1.0,0.0,inf,0.0,0.7004183318478481,0.0,0.8502091659239239
frozenset({'MESPRENAT_1.0'}),frozenset({'PARTO_2.0'}),0.8118369224576637,1.0,0.8118369224576637,1.0,1.0,1.0,0.0,inf,0.0,0.8118369224576638,0.0,0.9059184612288318
"frozenset({'GESTACAO_3.0', 'RACACOR_4.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6707972743739398,1.0,0.6707972743739398,1.0,1.0,1.0,0.0,inf,0.0,0.6707972743739398,0.0,0.8353986371869699
"frozenset({'CODOCUPMAE_1.0', 'GESTACAO_3.0', 'RACACOR_4.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.6379488801357063,1.0,0.6379488801357063,1.0,1.0,1.0,0.0,inf,0.0,0.6379488801357063,0.0,0.8189744400678531
"frozenset({'GESTACAO_3.0', 'RACACOR_4.0', 'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.6458842471464306,1.0,0.6458842471464306,1.0,1.0,1.0,0.0,inf,0.0,0.6458842471464306,0.0,0.8229421235732153
"frozenset({'CONSULTAS_4.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.7126735861533596,1.0,0.7126735861533596,1.0,1.0,1.0,0.0,inf,0.0,0.7126735861533596,0.0,0.8563367930766799
"frozenset({'GESTACAO_3.0', 'PESO_2.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6077276386532877,1.0,0.6077276386532877,1.0,1.0,1.0,0.0,inf,0.0,0.6077276386532877,0.0,0.8038638193266439
"frozenset({'GESTACAO_3.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.8338029383859004,1.0,0.8338029383859004,1.0,1.0,1.0,0.0,inf,0.0,0.8338029383859004,0.0,0.9169014691929502
"frozenset({'RACACOR_4.0', 'CONSULTAS_4.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.629409735200253,1.0,0.629409735200253,1.0,1.0,1.0,0.0,inf,0.0,0.629409735200253,0.0,0.8147048676001265
"frozenset({'GESTACAO_3.0', 'RACACOR_4.0', 'PESO_2.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.7315021132227365,1.0,0.7315021132227365,1.0,1.0,1.0,0.0,inf,0.0,0.7315021132227366,0.0,0.8657510566113682
"frozenset({'RACACOR_4.0', 'ESTCIVMAE_1.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.6726301716454386,1.0,0.6726301716454386,1.0,1.0,1.0,0.0,inf,0.0,0.6726301716454386,0.0,0.8363150858227193
"frozenset({'CODOCUPMAE_1.0', 'RACACOR_4.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.746779851068112,1.0,0.746779851068112,1.0,1.0,1.0,0.0,inf,0.0,0.746779851068112,0.0,0.873389925534056
"frozenset({'RACACOR_4.0', 'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.7538131451079613,1.0,0.7538131451079613,1.0,1.0,1.0,0.0,inf,0.0,0.7538131451079613,0.0,0.8769065725539806
"frozenset({'GESTACAO_3.0', 'RACACOR_4.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6799366033179034,1.0,0.6799366033179034,1.0,1.0,1.0,0.0,inf,0.0,0.6799366033179035,0.0,0.8399683016589516
"frozenset({'RACACOR_4.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.962296224950404,1.0,0.962296224950404,1.0,1.0,1.0,0.0,inf,0.0,0.9622962249504041,0.0,0.981148112475202
"frozenset({'ESTCIVMAE_1.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.6848890198671689,1.0,0.6848890198671689,1.0,1.0,1.0,0.0,inf,0.0,0.6848890198671689,0.0,0.8424445099335844
"frozenset({'GESTACAO_3.0', 'RACACOR_4.0', 'PESO_2.0'})",frozenset({'PARTO_2.0'}),0.7409469250452834,1.0,0.7409469250452834,1.0,1.0,1.0,0.0,inf,0.0,0.7409469250452834,0.0,0.8704734625226417
"frozenset({'GESTACAO_3.0', 'PESO_2.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.615375492366522,1.0,0.615375492366522,1.0,1.0,1.0,0.0,inf,0.0,0.615375492366522,0.0,0.807687746183261
"frozenset({'CODOCUPMAE_1.0', 'RACACOR_4.0', 'PESO_2.0'})",frozenset({'PARTO_2.0'}),0.6369138322647423,1.0,0.6369138322647423,1.0,1.0,1.0,0.0,inf,0.0,0.6369138322647423,0.0,0.8184569161323711
"frozenset({'CODOCUPMAE_1.0', 'RACACOR_4.0', 'GESTACAO_3.0'})",frozenset({'PARTO_2.0'}),0.6467144417929329,1.0,0.6467144417929329,1.0,1.0,1.0,0.0,inf,0.0,0.6467144417929329,0.0,0.8233572208964665
"frozenset({'GESTACAO_3.0', 'RACACOR_4.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.6548223167821512,1.0,0.6548223167821512,1.0,1.0,1.0,0.0,inf,0.0,0.6548223167821512,0.0,0.8274111583910756
"frozenset({'RACACOR_4.0', 'PESO_2.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.6490972082458814,1.0,0.6490972082458814,1.0,1.0,1.0,0.0,inf,0.0,0.6490972082458815,0.0,0.8245486041229406
"frozenset({'CODOCUPMAE_1.0', 'RACACOR_4.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6281195192777665,1.0,0.6281195192777665,1.0,1.0,1.0,0.0,inf,0.0,0.6281195192777667,0.0,0.8140597596388832
"frozenset({'RACACOR_4.0', 'PESO_2.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6714909002041345,1.0,0.6714909002041345,1.0,1.0,1.0,0.0,inf,0.0,0.6714909002041345,0.0,0.8357454501020672
"frozenset({'GESTACAO_3.0', 'RACACOR_4.0', 'CONSULTAS_4.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.616180529599494,1.0,0.616180529599494,1.0,1.0,1.0,0.0,inf,0.0,0.616180529599494,0.0,0.808090264799747
"frozenset({'RACACOR_4.0', 'QTDFILMORT_0.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.623551651763894,1.0,0.623551651763894,1.0,1.0,1.0,0.0,inf,0.0,0.6235516517638942,0.0,0.811775825881947
"frozenset({'PESO_2.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.8260724245996377,1.0,0.8260724245996377,1.0,1.0,1.0,0.0,inf,0.0,0.8260724245996378,0.0,0.9130362122998188
"frozenset({'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.7952438112762715,1.0,0.7952438112762715,1.0,1.0,1.0,0.0,inf,0.0,0.7952438112762715,0.0,0.8976219056381358
"frozenset({'CONSULTAS_4.0', 'RACACOR_4.0', 'PESO_2.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.6040079353670107,1.0,0.6040079353670107,1.0,1.0,1.0,0.0,inf,0.0,0.6040079353670107,0.0,0.8020039676835053
"frozenset({'CONSULTAS_4.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6490864264972255,1.0,0.6490864264972255,1.0,1.0,1.0,0.0,inf,0.0,0.6490864264972255,0.0,0.8245432132486128
"frozenset({'RACACOR_4.0', 'CONSULTAS_4.0'})",frozenset({'PARTO_2.0'}),0.7143627267761133,1.0,0.7143627267761133,1.0,1.0,1.0,0.0,inf,0.0,0.7143627267761133,0.0,0.8571813633880567
"frozenset({'CONSULTAS_4.0', 'PESO_2.0'})",frozenset({'PARTO_2.0'}),0.6210143469135447,1.0,0.6210143469135447,1.0,1.0,1.0,0.0,inf,0.0,0.6210143469135447,0.0,0.8105071734567724
