antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'ESTCIVMAE_5.0', 'PESO_2.0', 'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_1.0'}),0.6711336753854066,1.0,0.6711336753854066,1.0,1.0,1.0,0.0,inf,0.0,0.6711336753854067,0.0,0.8355668376927032
"frozenset({'ESTCIVMAE_5.0', 'GESTACAO_3.0', 'PESO_2.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_1.0'}),0.6048042768469017,1.0,0.6048042768469017,1.0,1.0,1.0,0.0,inf,0.0,0.6048042768469017,0.0,0.8024021384234509
frozenset({'QTDFILMORT_0.0'}),frozenset({'PARTO_1.0'}),0.8001327544759786,1.0,0.8001327544759786,1.0,1.0,1.0,0.0,inf,0.0,0.8001327544759786,0.0,0.9000663772379893
"frozenset({'CONSULTAS_4.0', 'APGAR5_3.0'})",frozenset({'PARTO_1.0'}),0.6895578438759523,1.0,0.6895578438759523,1.0,1.0,1.0,0.0,inf,0.0,0.6895578438759523,0.0,0.8447789219379762
frozenset({'RACACOR_4.0'}),frozenset({'PARTO_1.0'}),0.6780225563010537,1.0,0.6780225563010537,1.0,1.0,1.0,0.0,inf,0.0,0.6780225563010538,0.0,0.8390112781505268
"frozenset({'ESTCIVMAE_5.0', 'PESO_2.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_1.0'}),0.6589346154306148,1.0,0.6589346154306148,1.0,1.0,1.0,0.0,inf,0.0,0.6589346154306148,0.0,0.8294673077153074
"frozenset({'GESTACAO_3.0', 'ESTCIVMAE_5.0', 'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_1.0'}),0.6480810400296605,1.0,0.6480810400296605,1.0,1.0,1.0,0.0,inf,0.0,0.6480810400296606,0.0,0.8240405200148302
"frozenset({'GESTACAO_3.0', 'ESTCIVMAE_5.0', 'PESO_2.0'})",frozenset({'PARTO_1.0'}),0.7574659442909596,1.0,0.7574659442909596,1.0,1.0,1.0,0.0,inf,0.0,0.7574659442909597,0.0,0.8787329721454797
"frozenset({'GESTACAO_3.0', 'PESO_2.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_1.0'}),0.640277229617404,1.0,0.640277229617404,1.0,1.0,1.0,0.0,inf,0.0,0.640277229617404,0.0,0.820138614808702
"frozenset({'CONSULTAS_4.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_1.0'}),0.6270795211270974,1.0,0.6270795211270974,1.0,1.0,1.0,0.0,inf,0.0,0.6270795211270974,0.0,0.8135397605635487
