antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'APGAR5_3.0'}),frozenset({'CODOCUPMAE_2.0'}),0.9843713151812846,1.0,0.9843713151812846,1.0,1.0,1.0,0.0,inf,0.0,0.9843713151812847,0.0,0.9921856575906423
"frozenset({'GESTACAO_3.0', 'CONSULTAS_4.0', 'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'CODOCUPMAE_2.0'}),0.6163105657860161,1.0,0.6163105657860161,1.0,1.0,1.0,0.0,inf,0.0,0.6163105657860161,0.0,0.8081552828930081
"frozenset({'GESTACAO_3.0', 'CONSULTAS_4.0', 'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.6163105657860161,1.0,0.6163105657860161,1.0,1.0,1.0,0.0,inf,0.0,0.6163105657860161,0.0,0.8081552828930081
"frozenset({'GESTACAO_3.0', 'CONSULTAS_4.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'CODOCUPMAE_2.0'}),0.7365055621812105,1.0,0.7365055621812105,1.0,1.0,1.0,0.0,inf,0.0,0.7365055621812105,0.0,0.8682527810906053
"frozenset({'GESTACAO_3.0', 'CONSULTAS_4.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.7365055621812105,1.0,0.7365055621812105,1.0,1.0,1.0,0.0,inf,0.0,0.7365055621812105,0.0,0.8682527810906053
"frozenset({'CONSULTAS_4.0', 'PESO_2.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'CODOCUPMAE_2.0'}),0.7242660683363317,1.0,0.7242660683363317,1.0,1.0,1.0,0.0,inf,0.0,0.7242660683363317,0.0,0.8621330341681659
"frozenset({'GESTACAO_3.0', 'MESPRENAT_1.0', 'RACACOR_1.0', 'APGAR5_3.0', 'PESO_2.0', 'PARTO_2.0'})",frozenset({'CODOCUPMAE_2.0'}),0.6637289186257268,1.0,0.6637289186257268,1.0,1.0,1.0,0.0,inf,0.0,0.6637289186257268,0.0,0.8318644593128635
"frozenset({'GESTACAO_3.0', 'MESPRENAT_1.0', 'RACACOR_1.0', 'APGAR5_3.0', 'PESO_2.0'})","frozenset({'CODOCUPMAE_2.0', 'PARTO_2.0'})",0.6637289186257268,1.0,0.6637289186257268,1.0,1.0,1.0,0.0,inf,0.0,0.6637289186257268,0.0,0.8318644593128635
frozenset({'MESPRENAT_1.0'}),frozenset({'PARTO_2.0'}),0.9293727638414424,1.0,0.9293727638414424,1.0,1.0,1.0,0.0,inf,0.0,0.9293727638414424,0.0,0.9646863819207212
frozenset({'ESTCIVMAE_2.0'}),frozenset({'CODOCUPMAE_2.0'}),0.6108494538888103,1.0,0.6108494538888103,1.0,1.0,1.0,0.0,inf,0.0,0.6108494538888103,0.0,0.8054247269444051
frozenset({'ESTCIVMAE_2.0'}),frozenset({'PARTO_2.0'}),0.6108494538888103,1.0,0.6108494538888103,1.0,1.0,1.0,0.0,inf,0.0,0.6108494538888103,0.0,0.8054247269444051
frozenset({'RACACOR_1.0'}),frozenset({'CODOCUPMAE_2.0'}),0.8967610654053216,1.0,0.8967610654053216,1.0,1.0,1.0,0.0,inf,0.0,0.8967610654053216,0.0,0.9483805327026609
frozenset({'RACACOR_1.0'}),frozenset({'PARTO_2.0'}),0.8967610654053216,1.0,0.8967610654053216,1.0,1.0,1.0,0.0,inf,0.0,0.8967610654053216,0.0,0.9483805327026609
frozenset({'CODOCUPMAE_2.0'}),frozenset({'PARTO_2.0'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'PARTO_2.0'}),frozenset({'CODOCUPMAE_2.0'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0
frozenset({'QTDFILMORT_0.0'}),frozenset({'CODOCUPMAE_2.0'}),0.7917365729417234,1.0,0.7917365729417234,1.0,1.0,1.0,0.0,inf,0.0,0.7917365729417234,0.0,0.8958682864708617
frozenset({'QTDFILMORT_0.0'}),frozenset({'PARTO_2.0'}),0.7917365729417234,1.0,0.7917365729417234,1.0,1.0,1.0,0.0,inf,0.0,0.7917365729417234,0.0,0.8958682864708617
"frozenset({'CONSULTAS_4.0', 'PESO_2.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.7242660683363317,1.0,0.7242660683363317,1.0,1.0,1.0,0.0,inf,0.0,0.7242660683363317,0.0,0.8621330341681659
"frozenset({'RACACOR_1.0', 'CONSULTAS_4.0', 'PESO_2.0', 'APGAR5_3.0'})",frozenset({'CODOCUPMAE_2.0'}),0.6883258205143754,1.0,0.6883258205143754,1.0,1.0,1.0,0.0,inf,0.0,0.6883258205143754,0.0,0.8441629102571877
"frozenset({'RACACOR_1.0', 'CONSULTAS_4.0', 'PESO_2.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.6883258205143754,1.0,0.6883258205143754,1.0,1.0,1.0,0.0,inf,0.0,0.6883258205143754,0.0,0.8441629102571877
"frozenset({'CONSULTAS_4.0', 'CODOCUPMAE_2.0', 'APGAR5_3.0', 'PESO_2.0'})",frozenset({'PARTO_2.0'}),0.7609340152143006,1.0,0.7609340152143006,1.0,1.0,1.0,0.0,inf,0.0,0.7609340152143006,0.0,0.8804670076071504
"frozenset({'PARTO_2.0', 'CONSULTAS_4.0', 'PESO_2.0', 'APGAR5_3.0'})",frozenset({'CODOCUPMAE_2.0'}),0.7609340152143006,1.0,0.7609340152143006,1.0,1.0,1.0,0.0,inf,0.0,0.7609340152143006,0.0,0.8804670076071504
