antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'ESTCIVMAE_5.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.9011327936345509,1.0,0.9011327936345509,1.0,1.0,1.0,0.0,inf,0.0,0.9011327936345509,0.0,0.9505663968172755
"frozenset({'ESTCIVMAE_5.0', 'GESTACAO_3.0', 'CONSULTAS_4.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.6339914598166682,1.0,0.6339914598166682,1.0,1.0,1.0,0.0,inf,0.0,0.6339914598166682,0.0,0.8169957299083341
"frozenset({'ESTCIVMAE_5.0', 'QTDFILMORT_0.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6137503646074911,1.0,0.6137503646074911,1.0,1.0,1.0,0.0,inf,0.0,0.6137503646074911,0.0,0.8068751823037456
"frozenset({'GESTACAO_3.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.7315532518206466,1.0,0.7315532518206466,1.0,1.0,1.0,0.0,inf,0.0,0.7315532518206467,0.0,0.8657766259103232
"frozenset({'GESTACAO_3.0', 'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.6564130273658842,1.0,0.6564130273658842,1.0,1.0,1.0,0.0,inf,0.0,0.6564130273658842,0.0,0.8282065136829422
"frozenset({'CONSULTAS_4.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.728703336218315,1.0,0.728703336218315,1.0,1.0,1.0,0.0,inf,0.0,0.7287033362183151,0.0,0.8643516681091574
"frozenset({'ESTCIVMAE_5.0', 'CONSULTAS_4.0'})",frozenset({'PARTO_2.0'}),0.7296740289486393,1.0,0.7296740289486393,1.0,1.0,1.0,0.0,inf,0.0,0.7296740289486394,0.0,0.8648370144743196
"frozenset({'CONSULTAS_4.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.6151848858838325,1.0,0.6151848858838325,1.0,1.0,1.0,0.0,inf,0.0,0.6151848858838325,0.0,0.8075924429419162
"frozenset({'GESTACAO_3.0', 'PESO_2.0'})",frozenset({'PARTO_2.0'}),0.7678322948993205,1.0,0.7678322948993205,1.0,1.0,1.0,0.0,inf,0.0,0.7678322948993206,0.0,0.8839161474496602
"frozenset({'GESTACAO_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.740332522031856,1.0,0.740332522031856,1.0,1.0,1.0,0.0,inf,0.0,0.740332522031856,0.0,0.870166261015928
"frozenset({'PESO_2.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.725007053062942,1.0,0.725007053062942,1.0,1.0,1.0,0.0,inf,0.0,0.725007053062942,0.0,0.862503526531471
"frozenset({'ESTCIVMAE_5.0', 'APGAR5_3.0', 'PESO_2.0'})",frozenset({'PARTO_2.0'}),0.772226711742513,1.0,0.772226711742513,1.0,1.0,1.0,0.0,inf,0.0,0.772226711742513,0.0,0.8861133558712565
"frozenset({'PESO_2.0', 'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.6522194435013795,1.0,0.6522194435013795,1.0,1.0,1.0,0.0,inf,0.0,0.6522194435013795,0.0,0.8261097217506898
"frozenset({'ESTCIVMAE_5.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.7750861908200202,1.0,0.7750861908200202,1.0,1.0,1.0,0.0,inf,0.0,0.7750861908200202,0.0,0.8875430954100101
"frozenset({'APGAR5_3.0', 'QTDFILMORT_0.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6522911695651966,1.0,0.6522911695651966,1.0,1.0,1.0,0.0,inf,0.0,0.6522911695651967,0.0,0.8261455847825983
"frozenset({'ESTCIVMAE_5.0', 'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.7018299709748529,1.0,0.7018299709748529,1.0,1.0,1.0,0.0,inf,0.0,0.7018299709748529,0.0,0.8509149854874265
"frozenset({'GESTACAO_3.0', 'CONSULTAS_4.0', 'PESO_2.0'})",frozenset({'PARTO_2.0'}),0.6281386130091953,1.0,0.6281386130091953,1.0,1.0,1.0,0.0,inf,0.0,0.6281386130091953,0.0,0.8140693065045976
"frozenset({'GESTACAO_3.0', 'CONSULTAS_4.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6402555360566923,1.0,0.6402555360566923,1.0,1.0,1.0,0.0,inf,0.0,0.6402555360566924,0.0,0.8201277680283461
"frozenset({'GESTACAO_3.0', 'ESTCIVMAE_5.0', 'CONSULTAS_4.0'})",frozenset({'PARTO_2.0'}),0.6416039860564532,1.0,0.6416039860564532,1.0,1.0,1.0,0.0,inf,0.0,0.6416039860564532,0.0,0.8208019930282267
"frozenset({'CONSULTAS_4.0', 'PESO_2.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6304147201009903,1.0,0.6304147201009903,1.0,1.0,1.0,0.0,inf,0.0,0.6304147201009903,0.0,0.8152073600504952
"frozenset({'APGAR5_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.7581923119223063,1.0,0.7581923119223063,1.0,1.0,1.0,0.0,inf,0.0,0.7581923119223063,0.0,0.8790961559611532
"frozenset({'GESTACAO_3.0', 'CONSULTAS_4.0'})",frozenset({'PARTO_2.0'}),0.6986166433158482,1.0,0.6986166433158482,1.0,1.0,1.0,0.0,inf,0.0,0.6986166433158483,0.0,0.849308321657924
"frozenset({'CONSULTAS_4.0', 'PESO_2.0'})",frozenset({'PARTO_2.0'}),0.6883454709772437,1.0,0.6883454709772437,1.0,1.0,1.0,0.0,inf,0.0,0.6883454709772437,0.0,0.8441727354886219
"frozenset({'ESTCIVMAE_5.0', 'CONSULTAS_4.0', 'PESO_2.0'})",frozenset({'PARTO_2.0'}),0.6320357291432561,1.0,0.6320357291432561,1.0,1.0,1.0,0.0,inf,0.0,0.6320357291432561,0.0,0.8160178645716281
"frozenset({'ESTCIVMAE_5.0', 'CONSULTAS_4.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6678318167255617,1.0,0.6678318167255617,1.0,1.0,1.0,0.0,inf,0.0,0.6678318167255617,0.0,0.8339159083627808
"frozenset({'GESTACAO_3.0', 'PESO_2.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.665794796513157,1.0,0.665794796513157,1.0,1.0,1.0,0.0,inf,0.0,0.665794796513157,0.0,0.8328973982565785
frozenset({'APGAR5_3.0'}),frozenset({'PARTO_2.0'}),0.9809447757125984,1.0,0.9809447757125984,1.0,1.0,1.0,0.0,inf,0.0,0.9809447757125984,0.0,0.9904723878562992
frozenset({'CONSULTAS_4.0'}),frozenset({'PARTO_2.0'}),0.795652444185168,1.0,0.795652444185168,1.0,1.0,1.0,0.0,inf,0.0,0.795652444185168,0.0,0.897826222092584
"frozenset({'ESTCIVMAE_5.0', 'GESTACAO_3.0', 'PESO_2.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6114407853525814,1.0,0.6114407853525814,1.0,1.0,1.0,0.0,inf,0.0,0.6114407853525814,0.0,0.8057203926762907
"frozenset({'GESTACAO_3.0', 'PESO_2.0', 'MESPRENAT_1.0', 'APGAR5_3.0', 'ESTCIVMAE_5.0'})",frozenset({'PARTO_2.0'}),0.6047128805665403,1.0,0.6047128805665403,1.0,1.0,1.0,0.0,inf,0.0,0.6047128805665403,0.0,0.8023564402832701
"frozenset({'ESTCIVMAE_5.0', 'APGAR5_3.0', 'QTDFILMORT_0.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6030392724108087,1.0,0.6030392724108087,1.0,1.0,1.0,0.0,inf,0.0,0.6030392724108087,0.0,0.8015196362054043
"frozenset({'QTDFILMORT_0.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.6639060101659741,1.0,0.6639060101659741,1.0,1.0,1.0,0.0,inf,0.0,0.6639060101659741,0.0,0.8319530050829871
"frozenset({'ESTCIVMAE_5.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.7148028250505669,1.0,0.7148028250505669,1.0,1.0,1.0,0.0,inf,0.0,0.7148028250505669,0.0,0.8574014125252835
"frozenset({'GESTACAO_3.0', 'CONSULTAS_4.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.6902868564378924,1.0,0.6902868564378924,1.0,1.0,1.0,0.0,inf,0.0,0.6902868564378924,0.0,0.8451434282189463
"frozenset({'CONSULTAS_4.0', 'APGAR5_3.0', 'PESO_2.0'})",frozenset({'PARTO_2.0'}),0.6798005059078368,1.0,0.6798005059078368,1.0,1.0,1.0,0.0,inf,0.0,0.6798005059078369,0.0,0.8399002529539183
"frozenset({'CONSULTAS_4.0', 'APGAR5_3.0', 'MESPRENAT_1.0'})",frozenset({'PARTO_2.0'}),0.7173323642345155,1.0,0.7173323642345155,1.0,1.0,1.0,0.0,inf,0.0,0.7173323642345155,0.0,0.8586661821172578
"frozenset({'ESTCIVMAE_5.0', 'CONSULTAS_4.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.718398691716596,1.0,0.718398691716596,1.0,1.0,1.0,0.0,inf,0.0,0.718398691716596,0.0,0.859199345858298
frozenset({'PESO_2.0'}),frozenset({'PARTO_2.0'}),0.8506806803456239,1.0,0.8506806803456239,1.0,1.0,1.0,0.0,inf,0.0,0.8506806803456239,0.0,0.925340340172812
frozenset({'GESTACAO_3.0'}),frozenset({'PARTO_2.0'}),0.8556871596000555,1.0,0.8556871596000555,1.0,1.0,1.0,0.0,inf,0.0,0.8556871596000555,0.0,0.9278435798000277
"frozenset({'PESO_2.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.6606161747055646,1.0,0.6606161747055646,1.0,1.0,1.0,0.0,inf,0.0,0.6606161747055646,0.0,0.8303080873527823
"frozenset({'ESTCIVMAE_5.0', 'PESO_2.0'})",frozenset({'PARTO_2.0'}),0.7823687771662466,1.0,0.7823687771662466,1.0,1.0,1.0,0.0,inf,0.0,0.7823687771662466,0.0,0.8911843885831233
"frozenset({'GESTACAO_3.0', 'PESO_2.0', 'APGAR5_3.0'})",frozenset({'PARTO_2.0'}),0.7590864968512258,1.0,0.7590864968512258,1.0,1.0,1.0,0.0,inf,0.0,0.7590864968512258,0.0,0.8795432484256129
"frozenset({'GESTACAO_3.0', 'QTDFILMORT_0.0'})",frozenset({'PARTO_2.0'}),0.6643937473999302,1.0,0.6643937473999302,1.0,1.0,1.0,0.0,inf,0.0,0.6643937473999302,0.0,0.8321968736999651
"frozenset({'GESTACAO_3.0', 'ESTCIVMAE_5.0'})",frozenset({'PARTO_2.0'}),0.7869496817753635,1.0,0.7869496817753635,1.0,1.0,1.0,0.0,inf,0.0,0.7869496817753635,0.0,0.8934748408876818
