antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"CODOCUPMAE_2.0, MESPRENAT_1.0, RACACOR_4.0, APGAR5_3.0, QTDFILMORT_0.0",PARTO_2.0,0.6785450356047887,1.0,0.6785450356047887,1.0,1.0,1.0,0.0,inf,0.0,0.6785450356047888,0.0,0.8392725178023943
"MESPRENAT_1.0, RACACOR_4.0, APGAR5_3.0, QTDFILMORT_0.0, PARTO_2.0",CODOCUPMAE_2.0,0.6785450356047887,1.0,0.6785450356047887,1.0,1.0,1.0,0.0,inf,0.0,0.6785450356047888,0.0,0.8392725178023943
"GESTACAO_3.0, RACACOR_4.0, QTDFILMORT_0.0, MESPRENAT_1.0",PARTO_2.0,0.6009269751278097,1.0,0.6009269751278097,1.0,1.0,1.0,0.0,inf,0.0,0.6009269751278097,0.0,0.8004634875639048
"GESTACAO_3.0, CODOCUPMAE_2.0, MESPRENAT_1.0, APGAR5_3.0, QTDFILMORT_0.0",PARTO_2.0,0.6045803031049498,1.0,0.6045803031049498,1.0,1.0,1.0,0.0,inf,0.0,0.6045803031049498,0.0,0.802290151552475
"RACACOR_4.0, CODOCUPMAE_2.0, QTDFILMORT_0.0, MESPRENAT_1.0",PARTO_2.0,0.6896679791866419,1.0,0.6896679791866419,1.0,1.0,1.0,0.0,inf,0.0,0.6896679791866419,0.0,0.844833989593321
"RACACOR_4.0, PARTO_2.0, QTDFILMORT_0.0, MESPRENAT_1.0",CODOCUPMAE_2.0,0.6896679791866419,1.0,0.6896679791866419,1.0,1.0,1.0,0.0,inf,0.0,0.6896679791866419,0.0,0.844833989593321
"CONSULTAS_4.0, QTDFILMORT_0.0, MESPRENAT_1.0",CODOCUPMAE_2.0,0.6058460827152867,1.0,0.6058460827152867,1.0,1.0,1.0,0.0,inf,0.0,0.6058460827152867,0.0,0.8029230413576434
"CODOCUPMAE_2.0, MESPRENAT_1.0, RACACOR_4.0, APGAR5_3.0, CONSULTAS_4.0",PARTO_2.0,0.751384209588849,1.0,0.751384209588849,1.0,1.0,1.0,0.0,inf,0.0,0.751384209588849,0.0,0.8756921047944245
"APGAR5_3.0, QTDFILMORT_0.0, MESPRENAT_1.0",PARTO_2.0,0.6904031924932448,1.0,0.6904031924932448,1.0,1.0,1.0,0.0,inf,0.0,0.6904031924932448,0.0,0.8452015962466224
"CODOCUPMAE_2.0, RACACOR_4.0, APGAR5_3.0, QTDFILMORT_0.0, CONSULTAS_4.0",PARTO_2.0,0.6282700885666751,1.0,0.6282700885666751,1.0,1.0,1.0,0.0,inf,0.0,0.6282700885666752,0.0,0.8141350442833375
"RACACOR_4.0, APGAR5_3.0, QTDFILMORT_0.0, CONSULTAS_4.0, PARTO_2.0",CODOCUPMAE_2.0,0.6282700885666751,1.0,0.6282700885666751,1.0,1.0,1.0,0.0,inf,0.0,0.6282700885666752,0.0,0.8141350442833375
"RACACOR_4.0, CONSULTAS_4.0, APGAR5_3.0, QTDFILMORT_0.0","CODOCUPMAE_2.0, PARTO_2.0",0.6282700885666751,1.0,0.6282700885666751,1.0,1.0,1.0,0.0,inf,0.0,0.6282700885666752,0.0,0.8141350442833375
"CODOCUPMAE_2.0, APGAR5_3.0, MESPRENAT_1.0",PARTO_2.0,0.8853484115223842,1.0,0.8853484115223842,1.0,1.0,1.0,0.0,inf,0.0,0.8853484115223842,0.0,0.942674205761192
"GESTACAO_3.0, CONSULTAS_4.0, MESPRENAT_1.0, RACACOR_4.0, APGAR5_3.0, PESO_2.0","CODOCUPMAE_2.0, PARTO_2.0",0.6012036275576138,1.0,0.6012036275576138,1.0,1.0,1.0,0.0,inf,0.0,0.6012036275576138,0.0,0.8006018137788069
"GESTACAO_3.0, CODOCUPMAE_2.0, CONSULTAS_4.0, MESPRENAT_1.0, RACACOR_4.0, PESO_2.0",APGAR5_3.0,0.607301350291243,0.982684589701708,0.6012036275576138,0.9899593130647496,1.0074029077481004,1.0,0.0044179493213704,1.7245244682912884,0.018712841083087,0.6080242536669873,0.4201300019878345,0.8008782296137478
"GESTACAO_3.0, CONSULTAS_4.0, MESPRENAT_1.0, RACACOR_4.0, PESO_2.0",APGAR5_3.0,0.607301350291243,0.982684589701708,0.6012036275576138,0.9899593130647496,1.0074029077481004,1.0,0.0044179493213704,1.7245244682912884,0.018712841083087,0.6080242536669873,0.4201300019878345,0.8008782296137478
"GESTACAO_3.0, CODOCUPMAE_2.0, PESO_2.0, MESPRENAT_1.0, CONSULTAS_4.0","PARTO_2.0, APGAR5_3.0",0.618109743850168,0.982684589701708,0.6118831692999178,0.9899264255058248,1.0073694406933915,1.0,0.0044762492738875,1.7188943515833572,0.0191561036607206,0.6187443234729426,0.4182306788786342,0.806295646227652
"GESTACAO_3.0, CONSULTAS_4.0, MESPRENAT_1.0, PESO_2.0, PARTO_2.0",APGAR5_3.0,0.618109743850168,0.982684589701708,0.6118831692999178,0.9899264255058248,1.0073694406933915,1.0,0.0044762492738875,1.7188943515833572,0.0191561036607206,0.6187443234729426,0.4182306788786342,0.806295646227652
"GESTACAO_3.0, CODOCUPMAE_2.0, PESO_2.0, RACACOR_4.0, CONSULTAS_4.0","PARTO_2.0, APGAR5_3.0",0.6491706111744843,0.982684589701708,0.6425650606929953,0.9898246310480104,1.007265852564626,1.0,0.0046351050045901,1.7016985212026483,0.0205611074707109,0.6495213432269779,0.4123518428556511,0.8218560100862883
"GESTACAO_3.0, RACACOR_4.0, PESO_2.0, CONSULTAS_4.0","PARTO_2.0, APGAR5_3.0",0.6491706111744843,0.982684589701708,0.6425650606929953,0.9898246310480104,1.007265852564626,1.0,0.0046351050045901,1.7016985212026483,0.0205611074707109,0.6495213432269779,0.4123518428556511,0.8218560100862883
"GESTACAO_3.0, CODOCUPMAE_2.0, PESO_2.0, CONSULTAS_4.0, PARTO_2.0",APGAR5_3.0,0.66079001322626,0.982684589701708,0.6540404518909004,0.9897856184260332,1.0072261525200887,1.0,0.0046922888646669,1.695199085025725,0.0211500549586684,0.661024739448677,0.41009878495491,0.8276753005358088
"GESTACAO_3.0, CODOCUPMAE_2.0, CONSULTAS_4.0, PESO_2.0",APGAR5_3.0,0.66079001322626,0.982684589701708,0.6540404518909004,0.9897856184260332,1.0072261525200887,1.0,0.0046922888646669,1.695199085025725,0.0211500549586684,0.661024739448677,0.41009878495491,0.8276753005358088
"PARTO_2.0, GESTACAO_3.0, PESO_2.0, CONSULTAS_4.0","CODOCUPMAE_2.0, APGAR5_3.0",0.66079001322626,0.982684589701708,0.6540404518909004,0.9897856184260332,1.0072261525200887,1.0,0.0046922888646669,1.695199085025725,0.0211500549586684,0.661024739448677,0.41009878495491,0.8276753005358088
"GESTACAO_3.0, PESO_2.0, CONSULTAS_4.0","PARTO_2.0, CODOCUPMAE_2.0, APGAR5_3.0",0.66079001322626,0.982684589701708,0.6540404518909004,0.9897856184260332,1.0072261525200887,1.0,0.0046922888646669,1.695199085025725,0.0211500549586684,0.661024739448677,0.41009878495491,0.8276753005358088
"GESTACAO_3.0, CODOCUPMAE_2.0, MESPRENAT_1.0, RACACOR_4.0, PESO_2.0","PARTO_2.0, APGAR5_3.0",0.6900583243958176,0.982684589701708,0.6829184178512823,0.9896531839525496,1.0070913844827432,1.0,0.00480873647213,1.6735013185586505,0.0227186319288663,0.6899388936535163,0.4024504259959127,0.8423024886210878
