antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"GESTACAO_3.0, PESO_2.0, APGAR5_3.0, QTDFILMORT_0.0",PARTO_1.0,0.6678795779641714,1.0,0.6678795779641714,1.0,1.0,1.0,0.0,inf,0.0,0.6678795779641715,0.0,0.8339397889820857
"GESTACAO_3.0, PESO_2.0, QTDFILMORT_0.0",PARTO_1.0,0.6776855360327773,1.0,0.6776855360327773,1.0,1.0,1.0,0.0,inf,0.0,0.6776855360327774,0.0,0.8388427680163886
"ESTCIVMAE_1.0, APGAR5_3.0",PARTO_1.0,0.6122993503284172,1.0,0.6122993503284172,1.0,1.0,1.0,0.0,inf,0.0,0.6122993503284173,0.0,0.8061496751642085
"CONSULTAS_4.0, PESO_2.0, APGAR5_3.0, MESPRENAT_1.0",PARTO_1.0,0.6363880552113402,1.0,0.6363880552113402,1.0,1.0,1.0,0.0,inf,0.0,0.6363880552113403,0.0,0.8181940276056701
"CONSULTAS_4.0, APGAR5_3.0, MESPRENAT_1.0",PARTO_1.0,0.6953097579668932,1.0,0.6953097579668932,1.0,1.0,1.0,0.0,inf,0.0,0.6953097579668932,0.0,0.8476548789834466
"GESTACAO_3.0, APGAR5_3.0, QTDFILMORT_0.0, MESPRENAT_1.0",PARTO_1.0,0.6036824273506722,1.0,0.6036824273506722,1.0,1.0,1.0,0.0,inf,0.0,0.6036824273506722,0.0,0.8018412136753361
"PESO_2.0, APGAR5_3.0, QTDFILMORT_0.0, MESPRENAT_1.0",PARTO_1.0,0.6087716407967968,1.0,0.6087716407967968,1.0,1.0,1.0,0.0,inf,0.0,0.6087716407967968,0.0,0.8043858203983985
"CONSULTAS_4.0, APGAR5_3.0, PESO_2.0",PARTO_1.0,0.6949301262812569,1.0,0.6949301262812569,1.0,1.0,1.0,0.0,inf,0.0,0.694930126281257,0.0,0.8474650631406284
"GESTACAO_3.0, PESO_2.0, CONSULTAS_4.0, MESPRENAT_1.0",PARTO_1.0,0.6052510941271695,1.0,0.6052510941271695,1.0,1.0,1.0,0.0,inf,0.0,0.6052510941271695,0.0,0.8026255470635848
"CONSULTAS_4.0, APGAR5_3.0, QTDFILMORT_0.0",PARTO_1.0,0.6213281378707677,1.0,0.6213281378707677,1.0,1.0,1.0,0.0,inf,0.0,0.6213281378707677,0.0,0.8106640689353839
