antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"ESTCIVMAE_5.0, PESO_2.0, APGAR5_3.0, MESPRENAT_1.0",PARTO_1.0,0.6589346154306148,1.0,0.6589346154306148,1.0,1.0,1.0,0.0,inf,0.0,0.6589346154306148,0.0,0.8294673077153074
"APGAR5_3.0, QTDFILMORT_0.0, MESPRENAT_1.0",PARTO_1.0,0.6189468144905697,1.0,0.6189468144905697,1.0,1.0,1.0,0.0,inf,0.0,0.6189468144905697,0.0,0.8094734072452848
"ESTCIVMAE_5.0, CONSULTAS_4.0, PESO_2.0",PARTO_1.0,0.6045411598674847,1.0,0.6045411598674847,1.0,1.0,1.0,0.0,inf,0.0,0.6045411598674847,0.0,0.8022705799337424
"ESTCIVMAE_5.0, PESO_2.0, MESPRENAT_1.0",PARTO_1.0,0.6694772344013491,1.0,0.6694772344013491,1.0,1.0,1.0,0.0,inf,0.0,0.6694772344013491,0.0,0.8347386172006745
"ESTCIVMAE_5.0, QTDFILMORT_0.0, MESPRENAT_1.0",PARTO_1.0,0.6035305514692691,1.0,0.6035305514692691,1.0,1.0,1.0,0.0,inf,0.0,0.6035305514692693,0.0,0.8017652757346345
"GESTACAO_3.0, PESO_2.0, APGAR5_3.0, MESPRENAT_1.0",PARTO_1.0,0.6289034001889658,1.0,0.6289034001889658,1.0,1.0,1.0,0.0,inf,0.0,0.628903400188966,0.0,0.8144517000944829
"ESTCIVMAE_5.0, CONSULTAS_4.0, APGAR5_3.0",PARTO_1.0,0.6522909117003337,1.0,0.6522909117003337,1.0,1.0,1.0,0.0,inf,0.0,0.6522909117003337,0.0,0.8261454558501669
"ESTCIVMAE_5.0, GESTACAO_3.0, PESO_2.0, QTDFILMORT_0.0",PARTO_1.0,0.6113224020188248,1.0,0.6113224020188248,1.0,1.0,1.0,0.0,inf,0.0,0.6113224020188248,0.0,0.8056612010094124
"RACACOR_4.0, ESTCIVMAE_5.0",PARTO_1.0,0.6458026861851626,1.0,0.6458026861851626,1.0,1.0,1.0,0.0,inf,0.0,0.6458026861851626,0.0,0.8229013430925813
"PESO_2.0, APGAR5_3.0, MESPRENAT_1.0",PARTO_1.0,0.6951132001004628,1.0,0.6951132001004628,1.0,1.0,1.0,0.0,inf,0.0,0.6951132001004628,0.0,0.8475566000502315
"GESTACAO_3.0, ESTCIVMAE_5.0, MESPRENAT_1.0",PARTO_1.0,0.6517347780847476,1.0,0.6517347780847476,1.0,1.0,1.0,0.0,inf,0.0,0.6517347780847476,0.0,0.8258673890423738
"APGAR5_3.0, QTDFILMORT_0.0",PARTO_1.0,0.7818281846124406,1.0,0.7818281846124406,1.0,1.0,1.0,0.0,inf,0.0,0.7818281846124406,0.0,0.8909140923062203
"GESTACAO_3.0, ESTCIVMAE_5.0, QTDFILMORT_0.0",PARTO_1.0,0.6587851171468552,1.0,0.6587851171468552,1.0,1.0,1.0,0.0,inf,0.0,0.6587851171468552,0.0,0.8293925585734276
"PESO_2.0, QTDFILMORT_0.0",PARTO_1.0,0.713543348522359,1.0,0.713543348522359,1.0,1.0,1.0,0.0,inf,0.0,0.713543348522359,0.0,0.8567716742611795
"ESTCIVMAE_5.0, APGAR5_3.0, MESPRENAT_1.0",PARTO_1.0,0.7339229545644816,1.0,0.7339229545644816,1.0,1.0,1.0,0.0,inf,0.0,0.7339229545644816,0.0,0.8669614772822408
"QTDFILMORT_0.0, MESPRENAT_1.0",PARTO_1.0,0.633543826916867,1.0,0.633543826916867,1.0,1.0,1.0,0.0,inf,0.0,0.633543826916867,0.0,0.8167719134584335
"CONSULTAS_4.0, APGAR5_3.0, MESPRENAT_1.0",PARTO_1.0,0.6153050362981833,1.0,0.6153050362981833,1.0,1.0,1.0,0.0,inf,0.0,0.6153050362981833,0.0,0.8076525181490917
