antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"ESTCIVMAE_5.0, PESO_2.0, APGAR5_3.0, QTDFILMORT_0.0",PARTO_2.0,0.6043351232971037,1.0,0.6043351232971037,1.0,1.0,1.0,0.0,inf,0.0,0.6043351232971037,0.0,0.8021675616485519
"CONSULTAS_4.0, PESO_2.0, APGAR5_3.0, MESPRENAT_1.0",PARTO_2.0,0.6226348330456322,1.0,0.6226348330456322,1.0,1.0,1.0,0.0,inf,0.0,0.6226348330456322,0.0,0.8113174165228161
"ESTCIVMAE_5.0, CONSULTAS_4.0, APGAR5_3.0, PESO_2.0",PARTO_2.0,0.6242319333999589,1.0,0.6242319333999589,1.0,1.0,1.0,0.0,inf,0.0,0.6242319333999589,0.0,0.8121159666999794
"ESTCIVMAE_5.0, CONSULTAS_4.0, APGAR5_3.0, MESPRENAT_1.0",PARTO_2.0,0.6575319539614305,1.0,0.6575319539614305,1.0,1.0,1.0,0.0,inf,0.0,0.6575319539614306,0.0,0.8287659769807152
"ESTCIVMAE_5.0, QTDFILMORT_0.0, PESO_2.0",PARTO_2.0,0.6121580459907521,1.0,0.6121580459907521,1.0,1.0,1.0,0.0,inf,0.0,0.6121580459907521,0.0,0.806079022995376
"PESO_2.0, APGAR5_3.0, QTDFILMORT_0.0",PARTO_2.0,0.6522194435013795,1.0,0.6522194435013795,1.0,1.0,1.0,0.0,inf,0.0,0.6522194435013795,0.0,0.8261097217506898
"CONSULTAS_4.0, PESO_2.0, MESPRENAT_1.0",PARTO_2.0,0.6304147201009903,1.0,0.6304147201009903,1.0,1.0,1.0,0.0,inf,0.0,0.6304147201009903,0.0,0.8152073600504952
"ESTCIVMAE_5.0, CONSULTAS_4.0, PESO_2.0",PARTO_2.0,0.6320357291432561,1.0,0.6320357291432561,1.0,1.0,1.0,0.0,inf,0.0,0.6320357291432561,0.0,0.8160178645716281
"ESTCIVMAE_5.0, CONSULTAS_4.0, MESPRENAT_1.0",PARTO_2.0,0.6678318167255617,1.0,0.6678318167255617,1.0,1.0,1.0,0.0,inf,0.0,0.6678318167255617,0.0,0.8339159083627808
"GESTACAO_3.0, PESO_2.0, MESPRENAT_1.0, APGAR5_3.0, ESTCIVMAE_5.0",PARTO_2.0,0.6047128805665403,1.0,0.6047128805665403,1.0,1.0,1.0,0.0,inf,0.0,0.6047128805665403,0.0,0.8023564402832701
"ESTCIVMAE_5.0, APGAR5_3.0, QTDFILMORT_0.0, MESPRENAT_1.0",PARTO_2.0,0.6030392724108087,1.0,0.6030392724108087,1.0,1.0,1.0,0.0,inf,0.0,0.6030392724108087,0.0,0.8015196362054043
"QTDFILMORT_0.0, MESPRENAT_1.0",PARTO_2.0,0.6639060101659741,1.0,0.6639060101659741,1.0,1.0,1.0,0.0,inf,0.0,0.6639060101659741,0.0,0.8319530050829871
"ESTCIVMAE_5.0, QTDFILMORT_0.0",PARTO_2.0,0.7148028250505669,1.0,0.7148028250505669,1.0,1.0,1.0,0.0,inf,0.0,0.7148028250505669,0.0,0.8574014125252835
