antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"RACACOR_4.0, APGAR5_3.0, QTDFILMORT_0.0, MESPRENAT_1.0",PARTO_1.0,0.6051405478056191,1.0,0.6051405478056191,1.0,1.0,1.0,0.0,inf,0.0,0.6051405478056191,0.0,0.8025702739028096
"RACACOR_4.0, PESO_2.0, APGAR5_3.0, QTDFILMORT_0.0",PARTO_1.0,0.6911683000320449,1.0,0.6911683000320449,1.0,1.0,1.0,0.0,inf,0.0,0.691168300032045,0.0,0.8455841500160224
"RACACOR_4.0, PESO_2.0, ESTCIVMAE_1.0, APGAR5_3.0",PARTO_1.0,0.6266889827949106,1.0,0.6266889827949106,1.0,1.0,1.0,0.0,inf,0.0,0.6266889827949107,0.0,0.8133444913974552
"GESTACAO_3.0, RACACOR_4.0, APGAR5_3.0, QTDFILMORT_0.0",PARTO_1.0,0.67482311932443,1.0,0.67482311932443,1.0,1.0,1.0,0.0,inf,0.0,0.6748231193244301,0.0,0.8374115596622149
"GESTACAO_3.0, PESO_2.0, APGAR5_3.0, QTDFILMORT_0.0",PARTO_1.0,0.6465590973956064,1.0,0.6465590973956064,1.0,1.0,1.0,0.0,inf,0.0,0.6465590973956064,0.0,0.8232795486978032
"RACACOR_4.0, QTDFILMORT_0.0, MESPRENAT_1.0",PARTO_1.0,0.6188645055986278,1.0,0.6188645055986278,1.0,1.0,1.0,0.0,inf,0.0,0.6188645055986279,0.0,0.8094322527993139
"RACACOR_4.0, PESO_2.0, QTDFILMORT_0.0",PARTO_1.0,0.7013281323844368,1.0,0.7013281323844368,1.0,1.0,1.0,0.0,inf,0.0,0.7013281323844368,0.0,0.8506640661922185
"RACACOR_4.0, PESO_2.0, ESTCIVMAE_1.0",PARTO_1.0,0.6355900748558558,1.0,0.6355900748558558,1.0,1.0,1.0,0.0,inf,0.0,0.6355900748558558,0.0,0.8177950374279279
"GESTACAO_3.0, RACACOR_4.0, QTDFILMORT_0.0",PARTO_1.0,0.6848722931896617,1.0,0.6848722931896617,1.0,1.0,1.0,0.0,inf,0.0,0.6848722931896617,0.0,0.8424361465948309
"GESTACAO_3.0, PESO_2.0, QTDFILMORT_0.0",PARTO_1.0,0.65557545871401,1.0,0.65557545871401,1.0,1.0,1.0,0.0,inf,0.0,0.65557545871401,0.0,0.8277877293570051
"RACACOR_4.0, APGAR5_3.0, QTDFILMORT_0.0",PARTO_1.0,0.7706556745902754,1.0,0.7706556745902754,1.0,1.0,1.0,0.0,inf,0.0,0.7706556745902755,0.0,0.8853278372951376
"RACACOR_4.0, ESTCIVMAE_1.0, APGAR5_3.0",PARTO_1.0,0.7025384595877511,1.0,0.7025384595877511,1.0,1.0,1.0,0.0,inf,0.0,0.7025384595877511,0.0,0.8512692297938755
"APGAR5_3.0, QTDFILMORT_0.0, MESPRENAT_1.0",PARTO_1.0,0.6208771068338532,1.0,0.6208771068338532,1.0,1.0,1.0,0.0,inf,0.0,0.6208771068338532,0.0,0.8104385534169266
"PESO_2.0, APGAR5_3.0, QTDFILMORT_0.0",PARTO_1.0,0.7126614057777563,1.0,0.7126614057777563,1.0,1.0,1.0,0.0,inf,0.0,0.7126614057777563,0.0,0.8563307028888781
"PESO_2.0, ESTCIVMAE_1.0, APGAR5_3.0",PARTO_1.0,0.6483480762713623,1.0,0.6483480762713623,1.0,1.0,1.0,0.0,inf,0.0,0.6483480762713623,0.0,0.8241740381356811
"GESTACAO_3.0, APGAR5_3.0, QTDFILMORT_0.0",PARTO_1.0,0.694967574757877,1.0,0.694967574757877,1.0,1.0,1.0,0.0,inf,0.0,0.694967574757877,0.0,0.8474837873789385
"GESTACAO_3.0, APGAR5_3.0, ESTCIVMAE_1.0",PARTO_1.0,0.631700890109206,1.0,0.631700890109206,1.0,1.0,1.0,0.0,inf,0.0,0.631700890109206,0.0,0.815850445054603
"CONSULTAS_4.0, APGAR5_3.0, PESO_2.0",PARTO_1.0,0.6109109268339915,1.0,0.6109109268339915,1.0,1.0,1.0,0.0,inf,0.0,0.6109109268339916,0.0,0.8054554634169957
"ESTCIVMAE_1.0, APGAR5_3.0",PARTO_1.0,0.7268049436679139,1.0,0.7268049436679139,1.0,1.0,1.0,0.0,inf,0.0,0.7268049436679139,0.0,0.863402471833957
"GESTACAO_3.0, CONSULTAS_4.0, APGAR5_3.0",PARTO_1.0,0.6046310576876526,1.0,0.6046310576876526,1.0,1.0,1.0,0.0,inf,0.0,0.6046310576876526,0.0,0.8023155288438263
"RACACOR_4.0, QTDFILMORT_0.0",PARTO_1.0,0.7878630693436799,1.0,0.7878630693436799,1.0,1.0,1.0,0.0,inf,0.0,0.7878630693436799,0.0,0.89393153467184
"ESTCIVMAE_1.0, QTDFILMORT_0.0",PARTO_1.0,0.6096521865425447,1.0,0.6096521865425447,1.0,1.0,1.0,0.0,inf,0.0,0.6096521865425448,0.0,0.8048260932712723
"RACACOR_4.0, ESTCIVMAE_1.0",PARTO_1.0,0.718477892509112,1.0,0.718477892509112,1.0,1.0,1.0,0.0,inf,0.0,0.718477892509112,0.0,0.859238946254556
"QTDFILMORT_0.0, MESPRENAT_1.0",PARTO_1.0,0.6349399562437898,1.0,0.6349399562437898,1.0,1.0,1.0,0.0,inf,0.0,0.6349399562437898,0.0,0.8174699781218949
